Metric,Diameter,Pitch,Hex Bolt Flat Diameter,Hex Head Thickness,Hex Nut Thickness,Chamfer Width,Thread Width,Thread Height,Thread Angle
M,3,0.5,5.5,2.1,2.4,0.4065,0.271,0.375,30
M,4,0.7,7,2.9,4,0.568,0.3789,0.525,30
M,5,0.8,8,3.7,4,0.6495,0.433,0.6,30
M,6,1,10,4.2,5,0.8119,0.54127,0.75,30
M,8,1.25,13,5.4,6.5,1.015,0.6766,0.938,30
M,10,1.5,17,6.6,8,1.218,0.8119,1.125,30
M,12,1.75,19,7.7,10,1.42,0.9472,1.313,30
M,14,2,22,9,11,1.624,1.0825,1.5,30
M,16,2,24,10,13,1.624,1.0825,1.5,30
M,18,2.5,27,11.5,15,2.03,1.353,1.875,30
M,20,2.5,30,12.5,16,2.03,1.353,1.875,30
M,22,3,32,14,18,2.436,1.624,2.25,30
M,24,3,36,15,19,2.436,1.624,2.25,30
M,27,3,41,17,22,2.436,1.624,2.25,30
M,30,3.5,46,18.7,24,2.842,1.894,2.625,30
